date,holiday_name,type
2020-02-11,National Foundation Day,National holiday
2020-02-14,Valentine's Day,Observance
2020-02-23,Emperor's Birthday,National holiday
2020-02-24,Emperor's Birthday observed,National holiday
2020-03-03,Dolls' Festival/Girls' Festival,Observance
2020-03-20,Spring Equinox,National holiday
2020-03-20,March Equinox,Season
2020-04-29,Shōwa Day,National holiday
2020-05-03,Constitution Memorial Day,National holiday
2020-05-04,Greenery Day,National holiday
2020-05-05,Children's Day,National holiday
2020-05-06,Constitution Memorial Day observed,National holiday
2020-05-10,Mother's Day,Observance
2020-06-21,June Solstice,Season
2020-07-07,Star Festival,Observance
2020-07-23,Sea Day,National holiday
2020-07-24,Sports Day,National holiday
2020-08-06,Hiroshima Memorial Day,Observance
2020-08-09,Nagasaki Memorial Day,Observance
2020-08-10,Mountain Day,National holiday
2020-09-21,Respect for the Aged Day,National holiday
2020-09-22,Autumn Equinox,National holiday
2020-09-22,September Equinox,Season
2020-11-03,Culture Day,National holiday
2020-11-15,7-5-3 Day,Observance
2020-11-23,Labor Thanksgiving Day,National holiday
2020-12-21,December Solstice,Season
2020-12-25,Christmas,Observance
2020-12-31,December 31 Bank Holiday,Bank holiday
2021-01-01,New Year's Day,National holiday
2021-01-01,January 1 Bank Holiday,Bank holiday
2021-01-02,January 2 Bank Holiday,Bank holiday
2021-01-03,January 3 Bank Holiday,Bank holiday
2021-01-11,Coming of Age Day,National holiday
2021-02-02,Setsubun,Observance
2021-02-11,National Foundation Day,National holiday
2021-02-14,Valentine's Day,Observance
2021-02-23,Emperor's Birthday,National holiday
2021-03-03,Dolls' Festival/Girls' Festival,Observance
2021-03-20,Spring Equinox,National holiday
2021-03-20,March Equinox,Season
2021-04-29,Shōwa Day,National holiday
2021-05-03,Constitution Memorial Day,National holiday
2021-05-04,Greenery Day,National holiday
2021-05-05,Children's Day,National holiday
2021-05-09,Mother's Day,Observance
2021-06-21,June Solstice,Season
2021-07-07,Star Festival,Observance
2021-07-22,Sea Day,National holiday
2021-07-23,Sports Day,National holiday
2021-08-06,Hiroshima Memorial Day,Observance
2021-08-08,Mountain Day,National holiday
2021-08-09,Day off for Mountain Day,National holiday
2021-08-09,Nagasaki Memorial Day,Observance
2021-09-20,Respect for the Aged Day,National holiday
2021-09-23,Autumn Equinox,National holiday
2021-09-23,September Equinox,Season
2021-11-03,Culture Day,National holiday
2021-11-15,7-5-3 Day,Observance
2021-11-23,Labor Thanksgiving Day,National holiday
2021-12-22,December Solstice,Season
2021-12-25,Christmas,Observance
2021-12-31,December 31 Bank Holiday,Bank holiday
2022-01-01,New Year's Day,National holiday
2022-01-01,January 1 Bank Holiday,Bank holiday
2022-01-02,January 2 Bank Holiday,Bank holiday
2022-01-03,January 3 Bank Holiday,Bank holiday
2022-01-10,Coming of Age Day,National holiday
2022-02-03,Setsubun,Observance
2022-02-11,National Foundation Day,National holiday
2022-02-14,Valentine's Day,Observance
2022-02-23,Emperor's Birthday,National holiday
2022-03-03,Dolls' Festival/Girls' Festival,Observance
2022-03-21,Spring Equinox,National holiday
2022-03-21,March Equinox,Season
2022-04-29,Shōwa Day,National holiday
2022-05-03,Constitution Memorial Day,National holiday
2022-05-04,Greenery Day,National holiday
2022-05-05,Children's Day,National holiday
2022-05-08,Mother's Day,Observance
2022-06-21,June Solstice,Season
2022-07-07,Star Festival,Observance
2022-07-18,Sea Day,National holiday
2022-08-06,Hiroshima Memorial Day,Observance
2022-08-09,Nagasaki Memorial Day,Observance
2022-08-11,Mountain Day,National holiday
2022-09-19,Respect for the Aged Day,National holiday
2022-09-23,Autumn Equinox,National holiday
2022-09-23,September Equinox,Season
2022-10-10,Sports Day,National holiday
2022-11-03,Culture Day,National holiday
2022-11-15,7-5-3 Day,Observance
2022-11-23,Labor Thanksgiving Day,National holiday
2022-12-22,December Solstice,Season
2022-12-25,Christmas,Observance
2022-12-31,December 31 Bank Holiday,Bank holiday
2023-01-01,New Year's Day,National holiday
2023-01-01,January 1 Bank Holiday,Bank holiday
2023-01-02,Day off for New Year's Day,National holiday
2023-01-02,January 2 Bank Holiday,Bank holiday
2023-01-03,January 3 Bank Holiday,Bank holiday
2023-01-09,Coming of Age Day,National holiday
2023-02-03,Setsubun,Observance
2023-02-11,National Foundation Day,National holiday
2023-02-14,Valentine's Day,Observance
2023-02-23,Emperor's Birthday,National holiday
2023-03-03,Dolls' Festival/Girls' Festival,Observance
2023-03-21,Spring Equinox,National holiday
2023-03-21,March Equinox,Season
2023-04-29,Shōwa Day,National holiday
2023-05-03,Constitution Memorial Day,National holiday
2023-05-04,Greenery Day,National holiday
2023-05-05,Children's Day,National holiday
2023-05-14,Mother's Day,Observance
2023-06-21,June Solstice,Season
2023-07-07,Star Festival,Observance
2023-07-17,Sea Day,National holiday
2023-08-06,Hiroshima Memorial Day,Observance
2023-08-09,Nagasaki Memorial Day,Observance
2023-08-11,Mountain Day,National holiday
2023-09-18,Respect for the Aged Day,National holiday
2023-09-23,Autumn Equinox,National holiday
2023-09-23,September Equinox,Season
2023-10-09,Sports Day,National holiday
2023-11-03,Culture Day,National holiday
2023-11-15,7-5-3 Day,Observance
2023-11-23,Labor Thanksgiving Day,National holiday
2023-12-22,December Solstice,Season
2023-12-25,Christmas,Observance
2023-12-31,December 31 Bank Holiday,Bank holiday
