date,holiday_name,type
2021-02-06,Ronald Reagan Day,State Observance
2021-02-07,Super Bowl,Sporting event
2021-02-10,World Pulses Day,United Nations observance
2021-02-11,International Day of Women and Girls in Science,United Nations observance
2021-02-11,World Day of the Sick,Worldwide observance
2021-02-12,Lincoln's Birthday,State Holiday
2021-02-12,Lincoln's Birthday,State Legal Holiday
2021-02-12,Georgia Day,State Observance
2021-02-12,Lunar New Year,Observance
2021-02-13,World Radio Day,United Nations observance
2021-02-14,Valentine's Day,Observance
2021-02-14,Statehood Day,Local observance
2021-02-15,Presidents' Day,Federal Holiday
2021-02-15,Presidents' Day,State Holiday
2021-02-15,Presidents' Day,State Legal Holiday
2021-02-15,Daisy Gatson Bates Day,State Holiday
2021-02-15,Susan B. Anthony's Birthday,State Observance
2021-02-16,Shrove Tuesday/Mardi Gras,State Holiday
2021-02-16,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2021-02-16,Elizabeth Peratrovich Day,State Observance
2021-02-17,Ash Wednesday,Christian
2021-02-20,World Day of Social Justice,United Nations observance
2021-02-21,International Mother Language Day,United Nations observance
2021-02-25,African-American Scientist and Inventor Day,State Observance
2021-02-25,George Rogers Clark Day,State Observance
2021-02-26,Purim,Jewish holiday
2021-02-28,Linus Pauling Day,Local observance
2021-03-01,Zero Discrimination Day,United Nations observance
2021-03-01,Self-Injury Awareness Day,Worldwide observance
2021-03-01,St. David's Day,"Observance, Christian"
2021-03-01,Casimir Pulaski Day,State Observance
2021-03-01,First Day of Women's History Month,Annual Monthly Observance
2021-03-01,First Day of Irish American Heritage Month,Annual Monthly Observance
2021-03-02,Texas Independence Day,State Holiday
2021-03-02,Read Across America Day,Observance
2021-03-02,Town Meeting Day,State Holiday
2021-03-03,World Wildlife Day,United Nations observance
2021-03-04,Casimir Pulaski Day,State Observance
2021-03-05,Employee Appreciation Day,Observance
2021-03-08,International Women's Day,United Nations observance
2021-03-11,Maha Shivaratri,Hindu Holiday
2021-03-11,Isra and Mi'raj,Muslim
2021-03-11,World Kidney Day,Worldwide observance
2021-03-14,Daylight Saving Time starts,Clock change/Daylight Saving Time
2021-03-17,St. Patrick's Day,"Observance, Christian"
2021-03-17,Evacuation Day,State Holiday
2021-03-20,French Language Day,United Nations observance
2021-03-20,International Day of Happiness,United Nations observance
2021-03-20,March Equinox,Season
2021-03-21,International Day for the Elimination of Racial Discrimination,United Nations observance
2021-03-21,World Poetry Day,United Nations observance
2021-03-21,International Day of Nowruz,United Nations observance
2021-03-21,World Down Syndrome Day,United Nations observance
2021-03-21,International Day of Forests,United Nations observance
2021-03-22,World Water Day,United Nations observance
2021-03-23,World Meteorological Day,United Nations observance
2021-03-24,World Tuberculosis Day,United Nations observance
2021-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
2021-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
2021-03-25,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
2021-03-25,Maryland Day,Local observance
2021-03-26,Prince Jonah Kuhio Kalanianaole Day,State Holiday
2021-03-27,Passover Eve,Jewish holiday
2021-03-27,Earth Hour,Worldwide observance
2021-03-28,Palm Sunday,Christian
2021-03-28,Holi,Hindu Holiday
2021-03-28,Passover (first day),Jewish holiday
2021-03-29,Seward's Day,State Holiday
2021-03-29,National Vietnam War Veterans Day,Observance
2021-03-30,Wyoming Veterans Welcome Home Day,State Observance
2021-03-30,Doctors' Day,Observance
2021-03-30,Vietnam Veterans Day,State Observance
2021-03-31,International Transgender Day of Visibility,Worldwide observance
2021-03-31,César Chávez Day,State Holiday
2021-04-01,Maundy Thursday,Christian
2021-04-01,April Fool's Day,Worldwide observance
2021-04-02,World Autism Awareness Day,United Nations observance
2021-04-02,Good Friday,State Holiday
2021-04-02,Pascua Florida Day,Local observance
2021-04-02,State Holiday,State Holiday
2021-04-03,Holy Saturday,Christian
2021-04-04,Last Day of Passover,Jewish holiday
2021-04-04,United Nations' Mine Awareness Day,United Nations observance
2021-04-04,Easter Sunday,"Observance, Christian"
2021-04-05,International Day of Conscience,United Nations observance
2021-04-05,Easter Monday,"Observance, Christian"
2021-04-06,International Day of Sport for Development and Peace,United Nations observance
2021-04-06,National Tartan Day,Observance
2021-04-06,National Library Workers' Day,Observance
2021-04-07,United Nations' World Health Day,United Nations observance
2021-04-07,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
2021-04-08,Yom HaShoah,Jewish commemoration
2021-04-12,International Day of Human Space Flight,United Nations observance
2021-04-13,Ramadan Starts,Muslim
2021-04-13,Thomas Jefferson's Birthday,Observance
2021-04-14,World Chagas Disease Day,United Nations observance
2021-04-15,Yom Ha'atzmaut,Jewish holiday
2021-04-15,World Art Day,Worldwide observance
2021-04-15,Father Damien Day,Local observance
2021-04-16,Emancipation Day,State Holiday
2021-04-16,Arbor Day,State Observance
2021-04-18,International Day for Monuments and Sites,Worldwide observance
2021-04-19,Patriots' Day,State Holiday
2021-04-20,Chinese Language Day,United Nations observance
2021-04-21,World Creativity and Innovation Day,United Nations observance
2021-04-21,San Jacinto Day,State Holiday
2021-04-21,Administrative Professionals Day,Observance
2021-04-22,International Girls in ICT Day,United Nations observance
2021-04-22,Earth Day,United Nations observance
2021-04-22,Oklahoma Day,Local observance
2021-04-22,Take our Daughters and Sons to Work Day,Observance
2021-04-23,World Book and Copyright Day,United Nations observance
2021-04-23,English Language Day,United Nations observance
2021-04-24,International Day of Multilateralism and Diplomacy for Peace,United Nations observance
2021-04-25,International Delegate's Day,United Nations observance
2021-04-25,World Malaria Day,United Nations observance
2021-04-26,World Intellectual Property Day,United Nations observance
2021-04-26,International Chernobyl Disaster Remembrance Day,United Nations observance
2021-04-26,Arbor Day,State Observance
2021-04-26,Confederate Memorial Day,State Holiday
2021-04-26,Confederate Memorial Day,State Holiday
2021-04-26,Confederate Memorial Day,State Legal Holiday
2021-04-26,State Holiday,State Observance
2021-04-28,World Day for Safety and Health at Work,United Nations observance
2021-04-30,Lag BaOmer,Jewish holiday
2021-04-30,Orthodox Good Friday,Orthodox
2021-04-30,International Jazz Day,United Nations observance
2021-04-30,Arbor Day,State Holiday
2021-04-30,Arbor Day,State Observance
2021-04-30,Kentucky Oaks,Sporting event
2021-05-01,Orthodox Holy Saturday,Orthodox
2021-05-01,Kentucky Derby,Sporting event
2021-05-01,Law Day,Observance
2021-05-01,Loyalty Day,Observance
2021-05-01,National Explosive Ordnance Disposal (EOD) Day,Observance
2021-05-01,Lei Day,Local observance
2021-05-01,First Day of Military Appreciation Month,Annual Monthly Observance
2021-05-01,First Day of Asian Pacific American Heritage Month,Annual Monthly Observance
2021-05-01,First Day of Jewish American Heritage Month,Annual Monthly Observance
2021-05-02,Orthodox Easter,Orthodox
2021-05-02,World Tuna Day,United Nations observance
2021-05-02,International Family Equality Day,Worldwide observance
2021-05-03,Orthodox Easter Monday,Orthodox
2021-05-03,World Press Freedom Day,United Nations observance
2021-05-04,Kent State Shootings Remembrance,Local observance
2021-05-04,Rhode Island Independence Day,Local observance
2021-05-04,National Teacher Appreciation Day,Observance
2021-05-05,World Portuguese Language Day,United Nations observance
2021-05-05,Cinco de Mayo,Observance
2021-05-06,National Nurses Day,Observance
2021-05-06,National Day of Prayer,Observance
2021-05-06,West Virginia Day of Prayer,State Observance
2021-05-07,Truman Day observed,State Holiday
2021-05-07,Military Spouse Appreciation Day,State Observance
2021-05-07,Military Spouse Appreciation Day,Observance
2021-05-08,Lailat al-Qadr,Muslim
2021-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance
2021-05-08,World Migratory Bird Day,United Nations observance
2021-05-08,World Ovarian Cancer Day,Worldwide observance
2021-05-08,World Red Cross and Red Crescent Day,Worldwide observance
2021-05-08,Truman Day,State Holiday
2021-05-08,Victory in Europe Day,Observance
2021-05-09,Mother's Day,Observance
2021-05-09,Mother's Day,State Holiday
2021-05-10,International Day of Argania,United Nations observance
2021-05-10,Confederate Memorial Day,State Holiday
2021-05-10,Confederate Memorial Day,Local observance
2021-05-12,International Nurses Day,Worldwide observance
2021-05-13,Ascension Day,Christian
2021-05-13,Eid al-Fitr,Muslim
2021-05-14,Native American Day,State Observance
2021-05-15,International Day of Families,United Nations observance
2021-05-15,Public Lands Day,State Observance
2021-05-15,Peace Officers Memorial Day,Observance
2021-05-15,Armed Forces Day,Observance
2021-05-15,Preakness Stakes,Sporting event
2021-05-16,International Day of Living Together in Peace,United Nations observance
2021-05-16,International Day of Light,United Nations observance
2021-05-17,Shavuot,Jewish holiday
2021-05-17,World Telecommunication and Information Society Day,United Nations observance
2021-05-17,Tax Day,Observance
2021-05-19,Emergency Medical Services for Children Day,Observance
2021-05-20,World Bee Day,United Nations observance
2021-05-20,World Autoimmune / Autoinflammatory Arthritis Day,Worldwide observance
2021-05-21,World Day for Cultural Diversity for Dialogue and Development,United Nations observance
2021-05-21,International Tea Day,United Nations observance
2021-05-21,National Defense Transportation Day,Observance
2021-05-22,International Day for Biological Diversity,United Nations observance
2021-05-22,National Maritime Day,Observance
2021-05-22,Harvey Milk Day,Local observance
2021-05-23,Pentecost,Christian
2021-05-23,International Day to End Obstetric Fistula,United Nations observance
2021-05-24,Whit Monday,Christian
2021-05-25,African Liberation Day,Worldwide observance
2021-05-25,National Missing Children's Day,Observance
2021-05-26,Day of Vesak,United Nations observance
2021-05-29,International Day of United Nations Peacekeepers,United Nations observance
2021-05-30,Trinity Sunday,Christian
2021-05-31,World No Tobacco Day,United Nations observance
2021-05-31,Memorial Day,Federal Holiday
2021-05-31,Decoration Day,State Holiday
2021-05-31,Jefferson Davis' Birthday,Local observance
2021-06-01,Global Day of Parents,United Nations observance
2021-06-01,First Day of Pride Month,Annual Monthly Observance
2021-06-01,First Day of Caribbean-American Heritage Month,Annual Monthly Observance
2021-06-01,Statehood Day,Local observance
2021-06-03,Corpus Christi,Christian
2021-06-03,World Bicycle Day,United Nations observance
2021-06-03,Jefferson Davis' Birthday,Local observance
2021-06-04,International Day of Innocent Children Victims of Aggression,United Nations observance
2021-06-05,World Environment Day,United Nations observance
2021-06-05,"International Day for the Fight against Illegal, Unreported and Unregulated Fishing",United Nations observance
2021-06-05,Belmont Stakes,Sporting event
2021-06-06,Day of the Russian Language,United Nations observance
2021-06-06,Native American Day,State Holiday
2021-06-06,D-Day,Observance
2021-06-07,World Food Safety Day,United Nations observance
2021-06-07,Jefferson Davis' Birthday,State Holiday
2021-06-08,World Oceans Day,United Nations observance
2021-06-11,Kamehameha Day,State Holiday
2021-06-12,World Day Against Child Labour,United Nations observance
2021-06-12,Loving Day,Observance
2021-06-13,International Albinism Awareness Day,United Nations observance
2021-06-14,World Blood Donor Day,United Nations observance
2021-06-14,Army Birthday,Observance
2021-06-14,Flag Day,Observance
2021-06-15,World Elder Abuse Awareness Day,United Nations observance
2021-06-16,International Day of Family Remittances,United Nations observance
2021-06-17,World Day to Combat Desertification and Drought,United Nations observance
2021-06-17,Bunker Hill Day,Local holiday
2021-06-18,Sustainable Gastronomy Day,United Nations observance
2021-06-18,Juneteenth (substitute),Federal Holiday
2021-06-18,Juneteenth National Freedom Day (substitute),State Holiday
2021-06-18,Juneteenth (substitute),Half Day
2021-06-18,Juneteenth Day,State Holiday
2021-06-19,International Day for the Elimination of Sexual Violence in Conflict,United Nations observance
2021-06-19,Juneteenth,Federal Holiday
2021-06-19,Juneteenth,State Observance
2021-06-19,Juneteenth Day,State Observance
2021-06-19,Juneteenth National Freedom Day,State Holiday
2021-06-19,Juneteenth,Half Day
2021-06-19,Juneteenth National Independence Day,State Holiday
2021-06-19,Juneteenth,State Observance
2021-06-19,Emancipation Day,State Holiday
2021-06-20,World Refugee Day,United Nations observance
2021-06-20,Father's Day,Observance
2021-06-20,Father's Day,State Holiday
2021-06-20,West Virginia Day,State Holiday
2021-06-20,American Eagle Day,Observance
2021-06-20,June Solstice,Season
2021-06-21,International Day of Yoga,United Nations observance
2021-06-21,International Day of the Celebration of the Solstice,United Nations observance
2021-06-21,West Virginia Day observed,State Holiday
2021-06-23,Public Service Day,United Nations observance
2021-06-23,International Widows' Day,United Nations observance
2021-06-25,Day of the Seafarer,United Nations observance
2021-06-26,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance
2021-06-26,International Day in Support of Victims of Torture,United Nations observance
2021-06-27,"Micro-, Small and Medium-sized Enterprises Day",United Nations observance
2021-06-28,Carolina Day,State Observance
2021-06-29,International Day of the Tropics,United Nations observance
2021-06-30,International Asteroid Day,United Nations observance
2021-06-30,International Day of Parliamentarism,United Nations observance
2021-07-03,International Day of Cooperatives,United Nations observance
2021-07-04,Independence Day,State Holiday
2021-07-04,Independence Day,Federal Holiday
2021-07-05,Independence Day (substitute),State Holiday
2021-07-05,Independence Day (substitute),Federal Holiday
2021-07-11,World Population Day,United Nations observance
2021-07-13,Nathan Bedford Forrest Day,Local observance
2021-07-14,Bastille Day,Observance
2021-07-15,World Youth Skills Day,United Nations observance
2021-07-16,Rural Transit Day,Observance
2021-07-18,Tisha B'Av,Jewish holiday
2021-07-18,Nelson Mandela Day,United Nations observance
2021-07-20,Eid al-Adha,Muslim
2021-07-20,World Chess Day,United Nations observance
2021-07-23,Pioneer Day observed,State Holiday
2021-07-24,Pioneer Day,State Holiday
2021-07-25,World Drowning Prevention Day,United Nations observance
2021-07-25,Parents' Day,Observance
2021-07-27,Korean War Veteran Recognition Day,State Observance
2021-07-27,National Korean War Veterans Armistice Day,Observance
2021-07-28,World Hepatitis Day,United Nations observance
2021-07-30,International Day of Friendship,United Nations observance
2021-07-30,World Day Against Trafficking in Persons,United Nations observance
2021-08-01,Colorado Day,State Observance
2021-08-01,American Family Day,State Holiday
2021-08-04,Coast Guard Birthday,Observance
2021-08-04,Barack Obama Day,Observance
2021-08-07,Purple Heart Day,State Observance
2021-08-07,Purple Heart Day,Observance
2021-08-09,International Day of the World's Indigenous People,United Nations observance
2021-08-09,Victory Day,State Holiday
2021-08-10,Muharram,Muslim
2021-08-12,International Youth Day,United Nations observance
2021-08-13,Friday the 13th,Worldwide observance
2021-08-15,Assumption of Mary,Christian
2021-08-15,National Navajo Code Talkers Day,State Holiday
2021-08-15,National Senior Citizens Day,Observance
2021-08-16,Bennington Battle Day,State Holiday
2021-08-19,Ashura,Muslim
2021-08-19,World Humanitarian Day,United Nations observance
2021-08-19,National Aviation Day,Observance
2021-08-20,Hawaii Statehood Day,State Holiday
2021-08-21,Raksha Bandhan,Hindu Holiday
2021-08-21,International Day of Remembrance of and Tribute to the Victims of Terrorism,United Nations observance
2021-08-22,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief,United Nations observance
2021-08-23,International Day for the Remembrance of the Slave Trade and its Abolition,United Nations observance
2021-08-26,Susan B. Anthony Day,State Observance
2021-08-26,Women's Equality Day,Observance
2021-08-27,Lyndon Baines Johnson Day,State Holiday
2021-08-29,International Day against Nuclear Tests,United Nations observance
2021-08-30,Janmashtami,Hindu Holiday
2021-08-30,International Day of the Victims of Enforced Disappearances,United Nations observance
2021-08-31,International Day for People of African Descent,United Nations observance
2021-08-31,International Overdose Awareness Day,Worldwide observance
2021-09-04,World Sexual Health Day,Worldwide observance
2021-09-05,International Day of Charity,United Nations observance
2021-09-06,Labor Day,Federal Holiday
2021-09-06,Labor Day,State Holiday
2021-09-07,Rosh Hashana,Jewish holiday
2021-09-07,International Day of Clean Air for Blue Skies,United Nations observance
2021-09-07,Still's Disease Awareness Day,Worldwide observance
2021-09-07,Rosh Hashana,State Holiday
2021-09-08,International Literacy Day,United Nations observance
2021-09-09,International Day to Protect Education from Attack,United Nations observance
2021-09-09,California Admission Day,State Holiday
2021-09-10,Ganesh Chaturthi,Hindu Holiday
2021-09-10,World Suicide Prevention Day,Worldwide observance
2021-09-11,First Responders Day,State Observance
2021-09-11,Patriot Day,State Observance
2021-09-11,Patriot Day,Observance
2021-09-11,Carl Garner Federal Lands Cleanup Day,Observance
2021-09-11,Native American Day,State Observance
2021-09-12,International Day for South-South Cooperation,United Nations observance
2021-09-12,National Grandparents Day,Observance
2021-09-12,Constitution Commemoration Day,State Holiday
2021-09-13,International Programmers' Day,Worldwide observance
2021-09-15,International Day of Democracy,United Nations observance
2021-09-15,First Day of National Hispanic Heritage Month,Annual Monthly Observance
2021-09-16,Yom Kippur,Jewish holiday
2021-09-16,International Day for the Preservation of the Ozone Layer,United Nations observance
2021-09-16,Yom Kippur,State Holiday
2021-09-17,World Patient Safety Day,United Nations observance
2021-09-17,Constitution Day and Citizenship Day,Observance
2021-09-17,National POW/MIA Recognition Day,Observance
2021-09-18,International Equal Pay Day,United Nations observance
2021-09-18,Air Force Birthday,Observance
2021-09-18,National CleanUp Day,Observance
2021-09-21,First Day of Sukkot,Jewish holiday
2021-09-21,International Day of Peace,United Nations observance
2021-09-22,Emancipation Day,Local observance
2021-09-22,September Equinox,Season
2021-09-23,International Day of Sign Languages,United Nations observance
2021-09-23,International Celebrate Bisexuality Day,Worldwide observance
2021-09-24,Native American Day,State Observance
2021-09-24,American Indian Heritage Day,State Observance
2021-09-24,Michigan Indian Day,State Observance
2021-09-25,Public Lands Day,State Observance
2021-09-25,National Public Lands Day,Observance
2021-09-26,International Day for the Total Elimination of Nuclear Weapons,United Nations observance
2021-09-26,Gold Star Mother's Day,Observance
2021-09-27,Last Day of Sukkot,Jewish holiday
2021-09-27,World Tourism Day,United Nations observance
2021-09-27,American Indian Day,State Observance
2021-09-28,Shmini Atzeret,Jewish holiday
2021-09-28,International Day for Universal Access to Information,United Nations observance
2021-09-28,World Rabies Day,Worldwide observance
2021-09-29,Simchat Torah,Jewish holiday
2021-09-29,International Day of Awareness of Food Loss and Waste,United Nations observance
2021-09-29,World Heart Day,Worldwide observance
2021-09-30,World Maritime Day,United Nations observance
2021-09-30,International Translation Day,United Nations observance
2021-10-01,International Day of Older Persons,United Nations observance
2021-10-01,World Vegetarian Day,Worldwide observance
2021-10-02,International Day of Non-Violence,United Nations observance
2021-10-04,Feast of St Francis of Assisi,Christian
2021-10-04,World Habitat Day,United Nations observance
2021-10-04,Frances Xavier Cabrini Day,State Holiday
2021-10-04,Child Health Day,Observance
2021-10-05,World Teachers' Day,United Nations observance
2021-10-06,Navratri,Hindu Holiday
2021-10-06,World Cerebral Palsy Day,Worldwide observance
2021-10-06,German American Day,Observance
2021-10-09,World Post Day,United Nations observance
2021-10-09,Leif Erikson Day,Local observance
2021-10-09,Leif Erikson Day,Observance
2021-10-09,Robert E. Lee's Birthday,State Observance
2021-10-10,World Mental Health Day,United Nations observance
2021-10-10,Chicago Marathon,Sporting event
2021-10-11,International Day of the Girl Child,United Nations observance
2021-10-11,Columbus Day,State Holiday
2021-10-11,Columbus Day,Federal Holiday
2021-10-11,Columbus Day,State Legal Holiday
2021-10-11,Fraternal Day,State Holiday
2021-10-11,Yorktown Victory Day,State Holiday
2021-10-11,Discoverers’ Day,State Observance
2021-10-11,Native American Day,State Holiday
2021-10-11,Native American Day,State Observance
2021-10-11,Indigenous People's Day,State Observance
2021-10-11,Indigenous People's Day,State Holiday
2021-10-11,Indigenous People's Day,Observance
2021-10-11,American Indian Heritage Day,State Holiday
2021-10-11,Casimir Pulaski Day,State Observance
2021-10-11,Boston Marathon,Sporting event
2021-10-12,World Spanish Language Day,United Nations observance
2021-10-13,International Day for Natural Disaster Reduction,United Nations observance
2021-10-13,Navy Birthday,Observance
2021-10-14,Dussehra,Hindu Holiday
2021-10-14,World Sight Day,Worldwide observance
2021-10-15,International Day of Rural Women,United Nations observance
2021-10-15,White Cane Safety Day,Observance
2021-10-15,Boss's Day,Observance
2021-10-16,World Food Day,United Nations observance
2021-10-16,Sweetest Day,Observance
2021-10-17,International Day for the Eradication of Poverty,United Nations observance
2021-10-18,Alaska Day,State Holiday
2021-10-19,The Prophet's Birthday,Muslim
2021-10-24,United Nations Day,United Nations observance
2021-10-24,World Development Information Day,United Nations observance
2021-10-27,World Day for Audiovisual Heritage,United Nations observance
2021-10-29,World Stroke Day,Worldwide observance
2021-10-29,Nevada Day,State Holiday
2021-10-31,World Cities Day,United Nations observance
2021-10-31,Halloween,Observance
2021-11-01,All Saints' Day,Christian
2021-11-01,World Vegan Day,Worldwide observance
2021-11-01,First Day of Native American Heritage Month,Annual Monthly Observance
2021-11-02,All Souls' Day,Christian
2021-11-02,International Day to End Impunity for Crimes against Journalists,United Nations observance
2021-11-02,Election Day,Observance
2021-11-02,Election Day,State Holiday
2021-11-03,Diwali/Deepavali,Hindu Holiday
2021-11-04,Diwali/Deepavali,Hindu Holiday
2021-11-05,World Tsunami Awareness Day,United Nations observance
2021-11-06,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,United Nations observance
2021-11-07,New York City Marathon,Sporting event
2021-11-07,Daylight Saving Time ends,Clock change/Daylight Saving Time
2021-11-08,Barack Obama Day,Local observance
2021-11-10,World Science Day for Peace and Development,United Nations observance
2021-11-10,Marine Corps Birthday,Observance
2021-11-11,Veterans Day,Federal Holiday
2021-11-11,Veterans Day,State Holiday
2021-11-12,World Pneumonia Day,Worldwide observance
2021-11-14,World Diabetes Day,United Nations observance
2021-11-16,International Day for Tolerance,United Nations observance
2021-11-17,World Prematurity Day,Worldwide observance
2021-11-18,World Philosophy Day,United Nations observance
2021-11-19,World Toilet Day,United Nations observance
2021-11-19,International Men's Day,Worldwide observance
2021-11-19,George Rogers Clark Day,State Observance
2021-11-20,Universal Children's Day,United Nations observance
2021-11-20,Africa Industrialization Day,United Nations observance
2021-11-20,Transgender Day of Remembrance,Worldwide observance
2021-11-21,World Day of Remembrance for Road Traffic Victims,United Nations observance
2021-11-21,World Television Day,United Nations observance
2021-11-25,International Day for the Elimination of Violence against Women,United Nations observance
2021-11-25,Thanksgiving Day,State Holiday
2021-11-25,Thanksgiving Day,Federal Holiday
2021-11-26,State Holiday,State Holiday
2021-11-26,Presidents' Day,State Holiday
2021-11-26,Lincoln's Birthday/Lincoln's Day,State Holiday
2021-11-26,Day After Thanksgiving,State Holiday
2021-11-26,Black Friday,Observance
2021-11-26,American Indian Heritage Day,State Holiday
2021-11-26,Native American Heritage Day,Observance
2021-11-26,Native American Heritage Day,State Holiday
2021-11-28,First Sunday of Advent,Christian
2021-11-29,Chanukah/Hanukkah (first day),Jewish holiday
2021-11-29,International Day of Solidarity with the Palestinian People,United Nations observance
2021-11-29,Nellie Tayloe Ross's Birthday,State Observance
2021-11-29,Cyber Monday,Observance
2021-11-30,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance
2021-11-30,Giving Tuesday,Observance
2021-12-01,World AIDS Day,United Nations observance
2021-12-01,Rosa Parks Day,State Observance
2021-12-01,Rosa Parks Day,Local observance
2021-12-02,International Day for the Abolition of Slavery,United Nations observance
2021-12-03,International Day of Persons with Disabilities,United Nations observance
2021-12-04,International Day of Banks,United Nations observance
2021-12-05,International Volunteer Day for Economic and Social Development,United Nations observance
2021-12-05,World Soil Day,United Nations observance
2021-12-06,Last Day of Chanukah,Jewish holiday
2021-12-06,St Nicholas Day,Observance
2021-12-07,International Civil Aviation Day,United Nations observance
2021-12-07,Pearl Harbor Remembrance Day,Observance
2021-12-07,Pearl Harbor Remembrance Day,State Observance
2021-12-07,Delaware Day,State Observance
2021-12-08,Feast of the Immaculate Conception,Christian
2021-12-09,International Anti-Corruption Day,United Nations observance
2021-12-09,World Genocide Commemoration Day,United Nations observance
2021-12-10,Human Rights Day,United Nations observance
2021-12-10,Wyoming Day,State Observance
2021-12-11,International Mountain Day,United Nations observance
2021-12-12,International Day of Neutrality,United Nations observance
2021-12-12,International Universal Health Coverage Day,United Nations observance
2021-12-12,Feast of Our Lady of Guadalupe,Christian
2021-12-13,National Guard Birthday,Observance
2021-12-14,Asarah B'Tevet,Jewish holiday
2021-12-15,Bill of Rights Day,Observance
2021-12-17,Pan American Aviation Day,Observance
2021-12-17,Wright Brothers Day,Observance
2021-12-18,International Migrants Day,United Nations observance
2021-12-18,Arabic Language Day,United Nations observance
2021-12-20,International Human Solidarity Day,United Nations observance
2021-12-21,December Solstice,Season
2021-12-23,Washington's Birthday,State Holiday
2021-12-23,Christmas Holiday,State Holiday
2021-12-24,Christmas Day (substitute),State Holiday
2021-12-24,Christmas Day (substitute),Federal Holiday
2021-12-24,Christmas Eve,"Observance, Christian"
2021-12-24,Christmas Eve,State Holiday
2021-12-25,Christmas Day,State Holiday
2021-12-25,Christmas Day,State Holiday
2021-12-25,Christmas Day,Federal Holiday
2021-12-26,Kwanzaa (first day),Observance
2021-12-26,Day After Christmas Day,State Holiday
2021-12-27,International Day of Epidemic Preparedness,United Nations observance
2021-12-27,Christmas Day (substitute),State Holiday
2021-12-30,New Year Holiday,State Holiday
2021-12-31,New Year's Day (substitute),Federal Holiday
2021-12-31,New Year's Day (substitute),State Holiday
2021-12-31,New Year's Eve,Observance
2021-12-31,New Year's Eve,State Holiday
2022-01-01,New Year's Day,State Holiday
2022-01-01,New Year's Day,Federal Holiday
2022-01-01,New Year's Day,State Holiday
2022-01-03,New Year's Day (substitute),State Holiday
2022-01-04,World Braille Day,United Nations observance
2022-01-06,Epiphany,Christian
2022-01-07,Orthodox Christmas Day,Orthodox
2022-01-07,International Programmers' Day,Worldwide observance
2022-01-07,Estelle Reel Day,State Observance
2022-01-08,Battle of New Orleans,State Legal Holiday
2022-01-13,Stephen Foster Memorial Day,Observance
2022-01-14,Orthodox New Year,Orthodox
2022-01-16,World Religion Day,Worldwide observance
2022-01-17,Tu Bishvat/Tu B'Shevat,Jewish holiday
2022-01-17,Martin Luther King Jr. Day,Federal Holiday
2022-01-17,Martin Luther King Jr. Day,State Holiday
2022-01-17,Robert E. Lee's Birthday,State Holiday
2022-01-17,Idaho Human Rights Day,State Holiday
2022-01-17,Civil Rights Day,State Holiday
2022-01-19,Robert E. Lee's Birthday,State Legal Holiday
2022-01-19,State Holiday,State Observance
2022-01-19,Confederate Heroes' Day,State Holiday
2022-01-24,International Day of Education,United Nations observance
2022-01-26,International Customs Day,Worldwide observance
2022-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
2022-01-29,Kansas Day,State Observance
2022-01-30,World Leprosy Day,Worldwide observance
2022-02-01,National Freedom Day,Observance
2022-02-01,Lunar New Year,Observance
2022-02-01,First Day of Black History Month,Annual Monthly Observance
2022-02-02,World Wetlands Day,Worldwide observance
2022-02-02,Groundhog Day,Observance
2022-02-02,National Girls and Women in Sports Day,Observance
2022-02-04,International Day of Human Fraternity,United Nations observance
2022-02-04,World Cancer Day,Worldwide observance
2022-02-04,Rosa Parks Day,Local observance
2022-02-04,Rosa Parks Day,State Observance
2022-02-04,National Wear Red Day,Observance
2022-02-06,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance
2022-02-06,Ronald Reagan Day,State Observance
2022-02-10,World Pulses Day,United Nations observance
2022-02-11,International Day of Women and Girls in Science,United Nations observance
2022-02-11,World Day of the Sick,Worldwide observance
2022-02-11,Lincoln's Birthday observed,State Holiday
2022-02-12,Lincoln's Birthday,State Holiday
2022-02-12,Lincoln's Birthday,State Legal Holiday
2022-02-12,Georgia Day,State Observance
2022-02-13,World Radio Day,United Nations observance
2022-02-13,Super Bowl,Sporting event
2022-02-14,Valentine's Day,Observance
2022-02-14,Statehood Day,Local observance
2022-02-15,Susan B. Anthony's Birthday,State Observance
2022-02-16,Elizabeth Peratrovich Day,State Observance
2022-02-20,World Day of Social Justice,United Nations observance
2022-02-21,International Mother Language Day,United Nations observance
2022-02-21,Presidents' Day,Federal Holiday
2022-02-21,Presidents' Day,State Holiday
2022-02-21,Presidents' Day,State Legal Holiday
2022-02-21,Daisy Gatson Bates Day,State Holiday
2022-02-25,African-American Scientist and Inventor Day,State Observance
